,country,continent,year,lifeExp,pop,gdpPercap,Two_Letter_Country_Code,iso_alpha,iso_num
0,Afghanistan阿富汗,Asia,1950,29.22,8221506,728,AF,AFG,4
5,Afghanistan阿富汗,Asia,1955,30.02,8949669,794,AF,AFG,4
10,Afghanistan阿富汗,Asia,1960,31.33,9856623,840,AF,AFG,4
15,Afghanistan阿富汗,Asia,1965,33.21,11029613,843,AF,AFG,4
20,Afghanistan阿富汗,Asia,1970,35.26,12462862,778,AF,AFG,4
25,Afghanistan阿富汗,Asia,1975,37.5,14160007,768,AF,AFG,4
30,Afghanistan阿富汗,Asia,1980,39.29,13681238,901,AF,AFG,4
35,Afghanistan阿富汗,Asia,1985,40.43,13473501,903,AF,AFG,4
40,Afghanistan阿富汗,Asia,1990,41.33,15337935,731,AF,AFG,4
45,Afghanistan阿富汗,Asia,1995,41.73,19863617,641,AF,AFG,4
50,Afghanistan阿富汗,Asia,2000,41.98,24052009,690,AF,AFG,4
55,Afghanistan阿富汗,Asia,2005,43.15,29241316,875,AF,AFG,4
60,Afghanistan阿富汗,Asia,2010,75.82,29185507,874,AF,AFG,4
65,Afghanistan阿富汗,Asia,2015,76.48,34413603,706,AF,AFG,4
70,Afghanistan阿富汗,Asia,2020,77.15,38928346,565,AF,AFG,4
75,Afghanistan阿富汗,Asia,2025,77.82,43510962,590,AF,AFG,4
80,Afghanistan阿富汗,Asia,2030,78.48,48093578,615,AF,AFG,4
83,Albania阿爾巴尼亞,Europe,1950,53.61,991432,1465,AL,ALB,8
88,Albania阿爾巴尼亞,Europe,1955,57.66,1505853,1806,AL,ALB,8
93,Albania阿爾巴尼亞,Europe,1960,62.6,1627484,2165,AL,ALB,8
98,Albania阿爾巴尼亞,Europe,1965,65.66,1881691,2581,AL,ALB,8
103,Albania阿爾巴尼亞,Europe,1970,67.1,2151756,3092,AL,ALB,8
108,Albania阿爾巴尼亞,Europe,1975,68.43,2410850,3445,AL,ALB,8
113,Albania阿爾巴尼亞,Europe,1980,69.82,2671677,3592,AL,ALB,8
118,Albania阿爾巴尼亞,Europe,1985,71.37,2957231,3696,AL,ALB,8
123,Albania阿爾巴尼亞,Europe,1990,71.75,3226027,2994,AL,ALB,8
128,Albania阿爾巴尼亞,Europe,1995,72.4,3387422,2915,AL,ALB,8
133,Albania阿爾巴尼亞,Europe,2000,74.57,3476322,4040,AL,ALB,8
138,Albania阿爾巴尼亞,Europe,2005,76.11,3563719,5404,AL,ALB,8
143,Albania阿爾巴尼亞,Europe,2010,75.28,2948023,5755,AL,ALB,8
148,Albania阿爾巴尼亞,Europe,2015,76.07,2890513,5452,AL,ALB,8
153,Albania阿爾巴尼亞,Europe,2020,76.82,2877797,4700,AL,ALB,8
158,Albania阿爾巴尼亞,Europe,2025,77.56,2832386,6400,AL,ALB,8
163,Albania阿爾巴尼亞,Europe,2030,78.3,2786974,7900,AL,ALB,8
166,Algeria阿爾吉利亞,Africa,1950,42.03,8988260,2223,DZ,DZA,12
171,Algeria阿爾吉利亞,Africa,1955,44.64,9821690,2788,DZ,DZA,12
176,Algeria阿爾吉利亞,Africa,1960,47.26,10708911,2736,DZ,DZA,12
181,Algeria阿爾吉利亞,Africa,1965,50.17,12056679,2969,DZ,DZA,12
186,Algeria阿爾吉利亞,Africa,1970,53.27,13960672,3808,DZ,DZA,12
191,Algeria阿爾吉利亞,Africa,1975,56.62,16195997,4619,DZ,DZA,12
196,Algeria阿爾吉利亞,Africa,1980,60.03,18881373,5411,DZ,DZA,12
201,Algeria阿爾吉利亞,Africa,1985,64.03,21966475,5707,DZ,DZA,12
206,Algeria阿爾吉利亞,Africa,1990,66.97,25081006,5286,DZ,DZA,12
211,Algeria阿爾吉利亞,Africa,1995,68.59,27962558,4888,DZ,DZA,12
216,Algeria阿爾吉利亞,Africa,2000,70.26,30401091,5092,DZ,DZA,12
221,Algeria阿爾吉利亞,Africa,2005,71.78,32514786,5849,DZ,DZA,12
226,Algeria阿爾吉利亞,Africa,2010,74.94,35977455,5845,DZ,DZA,12
231,Algeria阿爾吉利亞,Africa,2015,76.09,39728025,5215,DZ,DZA,12
