,country,continent,year,lifeExp,pop,gdpPercap
0,Afghanistan阿富汗,Asia,1950,29.22,8221506,728
10,Afghanistan阿富汗,Asia,1960,31.33,9856623,840
20,Afghanistan阿富汗,Asia,1970,35.26,12462862,778
30,Afghanistan阿富汗,Asia,1980,39.29,13681238,901
40,Afghanistan阿富汗,Asia,1990,41.33,15337935,731
50,Afghanistan阿富汗,Asia,2000,41.98,24052009,690
60,Afghanistan阿富汗,Asia,2010,75.82,29185507,874
70,Afghanistan阿富汗,Asia,2020,77.15,38928346,565
80,Afghanistan阿富汗,Asia,2030,78.48,48093578,615
83,Albania阿爾巴尼亞,Europe,1950,53.61,991432,1465
93,Albania阿爾巴尼亞,Europe,1960,62.6,1627484,2165
103,Albania阿爾巴尼亞,Europe,1970,67.1,2151756,3092
113,Albania阿爾巴尼亞,Europe,1980,69.82,2671677,3592
123,Albania阿爾巴尼亞,Europe,1990,71.75,3226027,2994
133,Albania阿爾巴尼亞,Europe,2000,74.57,3476322,4040
143,Albania阿爾巴尼亞,Europe,2010,75.28,2948023,5755
153,Albania阿爾巴尼亞,Europe,2020,76.82,2877797,4700
163,Albania阿爾巴尼亞,Europe,2030,78.3,2786974,7900
166,Algeria阿爾吉利亞,Africa,1950,42.03,8988260,2223
176,Algeria阿爾吉利亞,Africa,1960,47.26,10708911,2736
186,Algeria阿爾吉利亞,Africa,1970,53.27,13960672,3808
196,Algeria阿爾吉利亞,Africa,1980,60.03,18881373,5411
206,Algeria阿爾吉利亞,Africa,1990,66.97,25081006,5286
216,Algeria阿爾吉利亞,Africa,2000,70.26,30401091,5092
226,Algeria阿爾吉利亞,Africa,2010,74.94,35977455,5845
236,Algeria阿爾吉利亞,Africa,2020,77.08,43851044,4575
246,Algeria阿爾吉利亞,Africa,2030,79.02,50360749,5500
249,Angola安哥拉,Africa,1950,29.22,3940830,3398
259,Angola安哥拉,Africa,1960,33.2,4720153,4093
269,Angola安哥拉,Africa,1970,37.15,5635902,5493
279,Angola安哥拉,Africa,1980,39.76,6674900,2858
289,Angola安哥拉,Africa,1990,40.35,8391285,2549
299,Angola安哥拉,Africa,2000,40.99,10469673,2575
309,Angola安哥拉,Africa,2010,55.35,23356246,4374
319,Angola安哥拉,Africa,2020,61.59,32866272,2980
329,Angola安哥拉,Africa,2030,65.62,44834712,4700
332,Argentina阿根廷,Americas,1950,61.72,17585691,5533
342,Argentina阿根廷,Americas,1960,64.84,20614485,7023
352,Argentina阿根廷,Americas,1970,66.49,24041569,8887
362,Argentina阿根廷,Americas,1980,69.36,28398356,9430
372,Argentina阿根廷,Americas,1990,71.43,33023735,9241
382,Argentina阿根廷,Americas,2000,73.91,37480058,9665
392,Argentina阿根廷,Americas,2010,75.28,40895752,12017
402,Argentina阿根廷,Americas,2020,76.82,45195774,8854
412,Argentina阿根廷,Americas,2030,78.3,49056162,11900
415,Australia澳洲,Oceania,1950,68.64,8399947,9676
425,Australia澳洲,Oceania,1960,70.69,10362008,11710
435,Australia澳洲,Oceania,1970,71.6,12655106,15884
445,Australia澳洲,Oceania,1980,74.24,14740160,19020
455,Australia澳洲,Oceania,1990,77.06,16992086,22810
465,Australia澳洲,Oceania,2000,79.75,19154172,29212
475,Australia澳洲,Oceania,2010,81.7,22154679,40094
485,Australia澳洲,Oceania,2020,83.25,25499884,54200
495,Australia澳洲,Oceania,2030,85.73,28177481,66900
498,Austria奧地利,Europe,1950,66.53,6636507,5055
508,Austria奧地利,Europe,1960,68.72,7064262,9987
518,Austria奧地利,Europe,1970,70.43,7477320,15131
528,Austria奧地利,Europe,1980,72.78,7572140,20858
538,Austria奧地利,Europe,1990,75.6,7780543,25700
548,Austria奧地利,Europe,2000,78.39,8116938,31089
558,Austria奧地利,Europe,2010,80.58,8409949,39759
568,Austria奧地利,Europe,2020,81.79,9006398,46500
578,Austria奧地利,Europe,2030,82.28,9175689,67000
581,Bahrain巴林,Asia,1950,49.78,113164,9160
591,Bahrain巴林,Asia,1960,55.69,158580,12306
601,Bahrain巴林,Asia,1970,61.95,219353,16883
611,Bahrain巴林,Asia,1980,67.67,345744,19263
621,Bahrain巴林,Asia,1990,71.86,499539,18831
631,Bahrain巴林,Asia,2000,74.45,633263,22159
641,Bahrain巴林,Asia,2010,76.06,1240860,27575
651,Bahrain巴林,Asia,2020,77.43,1701575,20500
661,Bahrain巴林,Asia,2030,78.74,2013416,26100
664,Bangladesh巴林,Asia,1950,36.74,46595594,693
674,Bangladesh巴林,Asia,1960,40.47,54649761,676
684,Bangladesh巴林,Asia,1970,44.53,67584331,667
694,Bangladesh巴林,Asia,1980,48.77,88015966,670
704,Bangladesh巴林,Asia,1990,54.74,109728444,803
714,Bangladesh巴林,Asia,2000,60.97,130720189,1071
724,Bangladesh巴林,Asia,2010,69.88,147575430,1365
734,Bangladesh巴林,Asia,2020,72.86,164689383,1250
744,Bangladesh巴林,Asia,2030,75.54,178993869,1550
747,Belgium比利時,Europe,1950,67.5,8439140,7794
757,Belgium比利時,Europe,1960,69.85,9126684,10481
767,Belgium比利時,Europe,1970,71.24,9648060,15263
777,Belgium比利時,Europe,1980,73.48,9842502,20235
787,Belgium比利時,Europe,1990,76.02,9975453,24356
797,Belgium比利時,Europe,2000,78.0,10267097,29316
807,Belgium比利時,Europe,2010,80.18,10938739,37155
817,Belgium比利時,Europe,2020,81.8,11589623,46000
827,Belgium比利時,Europe,2030,82.82,11903750,51000
830,Benin貝南,Africa,1950,37.37,1447050,1104
840,Benin貝南,Africa,1960,41.71,2061206,954
850,Benin貝南,Africa,1970,46.16,2627778,1066
860,Benin貝南,Africa,1980,50.22,3452269,1178
870,Benin貝南,Africa,1990,53.29,4686518,1205
880,Benin貝南,Africa,2000,54.55,6642100,1317
890,Benin貝南,Africa,2010,59.32,9199259,1396
900,Benin貝南,Africa,2020,62.06,12123200,1150
910,Benin貝南,Africa,2030,65.02,15672304,1740
913,Bolivia玻利維亞,Americas,1950,39.82,2592050,2897
923,Bolivia玻利維亞,Americas,1960,42.81,3441046,2160
933,Bolivia玻利維亞,Americas,1970,46.04,4355789,2823
943,Bolivia玻利維亞,Americas,1980,52.32,5417221,3313
953,Bolivia玻利維亞,Americas,1990,58.87,6598618,2878
963,Bolivia玻利維亞,Americas,2000,63.15,8144356,3378
973,Bolivia玻利維亞,Americas,2010,68.01,10048590,3512
983,Bolivia玻利維亞,Americas,2020,71.83,11673021,2410
993,Bolivia玻利維亞,Americas,2030,74.77,13240382,2950
996,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1950,51.97,2499735,821
1006,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1960,60.54,3239800,1567
1016,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1970,66.39,3725400,2585
1026,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1980,70.36,4138016,3887
1036,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,1990,71.76,4289199,3254
1046,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,2000,73.75,3942050,5518
1056,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,2010,76.03,3705472,7144
1066,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,2020,77.53,3280819,5900
1076,Bosnia and Herzegovina波士尼亞與赫塞哥維納,Europe,2030,78.87,3126648,6900
1079,Botswana波札那,Africa,1950,46.82,151043,824
1089,Botswana波札那,Africa,1960,50.76,497514,957
1099,Botswana波札那,Africa,1970,54.93,593027,1844
1109,Botswana波札那,Africa,1980,60.62,894797,4017
1119,Botswana波札那,Africa,1990,63.1,1266042,7255
1129,Botswana波札那,Africa,2000,49.0,1592823,10061
1139,Botswana波札那,Africa,2010,60.21,1987105,11451
1149,Botswana波札那,Africa,2020,70.2,2351627,7000
1159,Botswana波札那,Africa,2030,74.83,2774340,9900
1162,Brazil巴西,Americas,1950,49.97,56311295,1958
1172,Brazil巴西,Americas,1960,54.71,71844102,2997
1182,Brazil巴西,Americas,1970,58.76,95723964,4363
1192,Brazil巴西,Americas,1980,62.6,123103344,6883
1202,Brazil巴西,Americas,1990,66.32,150760815,7293
1212,Brazil巴西,Americas,2000,70.36,175367215,8062
1222,Brazil巴西,Americas,2010,73.62,195713635,9580
1232,Brazil巴西,Americas,2020,76.1,212559417,10400
1242,Brazil巴西,Americas,2030,78.26,223852122,12000
1245,Bulgaria保加利亞,Europe,1950,56.8,6983635,2219
1255,Bulgaria保加利亞,Europe,1960,68.35,7868269,3756
1265,Bulgaria保加利亞,Europe,1970,70.71,8469810,6189
1275,Bulgaria保加利亞,Europe,1980,70.97,8854068,7979
1285,Bulgaria保加利亞,Europe,1990,71.25,8783887,7078
1295,Bulgaria保加利亞,Europe,2000,71.41,7823502,7006
1305,Bulgaria保加利亞,Europe,2010,73.51,7425008,10267
1315,Bulgaria保加利亞,Europe,2020,75.26,6948445,8500
1325,Bulgaria保加利亞,Europe,2030,76.75,6416749,12500
1328,Burkina Faso布吉納法索,Africa,1950,30.8,4178714,514
1338,Burkina Faso布吉納法索,Africa,1960,36.65,4837146,680
1348,Burkina Faso布吉納法索,Africa,1970,42.43,5311506,831
1358,Burkina Faso布吉納法索,Africa,1980,47.33,6336587,782
1368,Burkina Faso布吉納法索,Africa,1990,49.98,8361602,924
1378,Burkina Faso布吉納法索,Africa,2000,50.52,11491863,1001
1388,Burkina Faso布吉納法索,Africa,2010,57.1,15605217,1118
1398,Burkina Faso布吉納法索,Africa,2020,61.99,20903273,700
1408,Burkina Faso布吉納法索,Africa,2030,66.05,27404039,925
1411,Burundi蒲隆地,Africa,1950,38.43,2154353,323
1421,Burundi蒲隆地,Africa,1960,41.44,2844156,365
1431,Burundi蒲隆地,Africa,1970,43.85,3450385,444
1441,Burundi蒲隆地,Africa,1980,46.85,4282012,558
1451,Burundi蒲隆地,Africa,1990,46.13,5535951,628
1461,Burundi蒲隆地,Africa,2000,46.55,6661291,453
1471,Burundi蒲隆地,Africa,2010,57.23,8675602,375
1481,Burundi蒲隆地,Africa,2020,61.95,11890784,202
1491,Burundi蒲隆地,Africa,2030,65.44,15772822,330
1494,Cambodia柬埔寨,Asia,1950,38.64,4402571,342
1504,Cambodia柬埔寨,Asia,1960,42.6,5779186,472
1514,Cambodia柬埔寨,Asia,1970,42.36,7254390,462
1524,Cambodia柬埔寨,Asia,1980,43.06,7154934,585
1534,Cambodia柬埔寨,Asia,1990,55.05,9438773,683
1544,Cambodia柬埔寨,Asia,2000,56.66,12469209,831
1554,Cambodia柬埔寨,Asia,2010,66.56,14312212,1603
1564,Cambodia柬埔寨,Asia,2020,70.13,16718965,1215
1574,Cambodia柬埔寨,Asia,2030,72.94,18781033,1758
1577,Cameroon喀麥隆,Africa,1950,37.76,4717802,1117
1587,Cameroon喀麥隆,Africa,1960,41.76,5620149,1365
1597,Cameroon喀麥隆,Africa,1970,46.15,6746819,1614
1607,Cameroon喀麥隆,Africa,1980,51.52,8734445,2134
1617,Cameroon喀麥隆,Africa,1990,54.58,11792569,2117
1627,Cameroon喀麥隆,Africa,2000,50.79,15236316,1838
1637,Cameroon喀麥隆,Africa,2010,55.1,20341241,1912
