,Year,Total Gross,%± LY,Releases,Average,"#1 Release
"
0,2022,"$3,371,376,436",-,234,"$14,407,591",Top Gun: Maverick
1,2021,"$4,488,914,150",+113.4%,438,"$10,248,662",Spider-Man: No Way Home
2,2020,"$2,103,088,090",-81.4%,456,"$4,612,035",Bad Boys for Life
3,2019,"$11,320,802,314",-4.8%,910,"$12,440,442",Avengers: Endgame
4,2018,"$11,888,639,106",+7.4%,993,"$11,972,446",Black Panther
5,2017,"$11,073,883,499",-2.7%,854,"$12,967,076",Star Wars: Episode VIII - The Last Jedi
6,2016,"$11,377,012,354",+2.3%,855,"$13,306,447",Finding Dory
7,2015,"$11,125,825,192",+7.4%,845,"$13,166,657",Jurassic World
8,2014,"$10,359,575,749",-5.2%,849,"$12,202,091",Guardians of the Galaxy
9,2013,"$10,922,051,943",+0.9%,826,"$13,222,823",Iron Man 3
10,2012,"$10,822,806,722",+6.4%,807,"$13,411,160",The Avengers
11,2011,"$10,173,621,826",-3.7%,730,"$13,936,468",Harry Potter and the Deathly Hallows: Part 2
12,2010,"$10,566,830,616",-0.2%,651,"$16,231,690",Avatar
13,2009,"$10,590,200,693",+10%,646,"$16,393,499",Transformers: Revenge of the Fallen
14,2008,"$9,629,131,592",-0.3%,725,"$13,281,560",The Dark Knight
15,2007,"$9,657,106,911",+4.9%,775,"$12,460,783",Spider-Man 3
16,2006,"$9,208,611,128",+4.2%,746,"$12,343,982",Pirates of the Caribbean: Dead Man's Chest
17,2005,"$8,837,713,363",-5.6%,676,"$13,073,540",Star Wars: Episode III - Revenge of the Sith
18,2004,"$9,365,047,036",+1.7%,700,"$13,378,638",Shrek 2
19,2003,"$9,210,978,005",+0.5%,667,"$13,809,562",Finding Nemo
20,2002,"$9,165,532,414",+13%,570,"$16,079,881",Spider-Man
21,2001,"$8,110,836,104",+8%,412,"$19,686,495",Harry Potter and the Sorcerer's Stone
22,2000,"$7,511,547,085",+1.8%,439,"$17,110,585",How the Grinch Stole Christmas
23,1999,"$7,377,967,100",+9.7%,448,"$16,468,676",Star Wars: Episode I - The Phantom Menace
24,1998,"$6,725,527,166",+9.2%,334,"$20,136,308",Titanic
25,1997,"$6,156,263,535",+9%,310,"$19,858,914",Men in Black
26,1996,"$5,647,751,531",+8.6%,306,"$18,456,704",Independence Day
27,1995,"$5,199,428,915",+1.9%,291,"$17,867,453",Batman Forever
28,1994,"$5,101,025,737",+4.9%,259,"$19,695,080",The Lion King
29,1993,"$4,860,902,708",+6.7%,267,"$18,205,628",Jurassic Park
30,1992,"$4,556,151,332",+4.3%,247,"$18,445,956",Batman Returns
31,1991,"$4,366,922,856",<0.1%,253,"$17,260,564",Terminator 2: Judgment Day
32,1990,"$4,362,843,546",+6.1%,236,"$18,486,625",Ghost
33,1989,"$4,111,404,298",+15.9%,235,"$17,495,337",Batman
34,1988,"$3,548,516,187",+4.4%,239,"$14,847,348",Who Framed Roger Rabbit
35,1987,"$3,398,925,607",+9.5%,226,"$15,039,493",Beverly Hills Cop II
36,1986,"$3,102,793,651",+2%,201,"$15,436,784",Top Gun
37,1985,"$3,041,480,248",-2%,191,"$15,923,980",Back to the Future
38,1984,"$3,104,296,629",+13%,169,"$18,368,619",Ghostbusters
39,1983,"$2,748,432,836",-8.6%,149,"$18,445,857",Star Wars: Episode VI - Return of the Jedi
40,1982,"$3,008,355,492",+227.6%,132,"$22,790,571",E.T. the Extra-Terrestrial
41,1981,"$918,310,755",-44.6%,56,"$16,398,406",Superman II
42,1980,"$1,657,166,297",+33.1%,68,"$24,370,092",Star Wars: Episode V - The Empire Strikes Back
43,1979,"$1,244,961,893",+48.1%,40,"$31,124,047",Superman
44,1978,"$840,508,376",+89.5%,13,"$64,654,490",Grease
45,1977,"$443,497,478",+290.6%,9,"$49,277,497",Star Wars
