date,月份,星期,淡旺季,LeadTime,QAIndex,AI啟動,龍華一廠,龍華二廠,龍華三廠,LCM廠,觀瀾廠,模具部,製工部,製程部,QA部,AI部,總經理室,財務部,管理部,業務一部,業務二部,深圳總產能下之總費用,CapaUtilization
2019/8/1,8,4,旺季,急單,紅,ON,"757,596.000","2,869,755.000","11,056,108.000","26,991,292.000","1,335,383.000","32,456.000","17,977.000","54,250.000","81,386.000","13,531.000","3,123.000","29,085.000","88,243.000","33,493.000","45,250.000","50,000,000.000",86.02%
2019/8/2,8,5,旺季,急單,紅,ON,"746,413.000","2,785,665.000","10,719,651.000","26,007,947.000","1,301,762.000","41,616.000","29,663.000","64,984.000","74,592.000","18,647.000","3,329.000","33,499.000","86,518.000","27,652.000","44,417.000","50,000,000.000",83.12%
2019/8/3,8,6,旺季,急單,綠,ON,"701,001.000","2,457,011.000","11,441,965.000","26,855,035.000","1,169,504.000","21,723.000","6,761.000","38,342.000","78,186.000","7,780.000","3,357.000","28,964.000","86,549.000","40,356.000","46,059.000","50,000,000.000",85.25%
2019/8/4,8,7,旺季,急單,綠,ON,"712,124.000","2,535,601.000","11,007,733.000","24,816,714.000","1,201,262.000","20,300.000","5,562.000","38,039.000","76,472.000","7,374.000","3,582.000","32,040.000","84,827.000","27,047.000","44,321.000","50,000,000.000",80.55%
2019/8/5,8,1,旺季,急單,紅,ON,"840,953.000","3,536,009.000","9,479,498.000","23,076,859.000","1,599,146.000","26,755.000","11,143.000","54,912.000","83,633.000","11,580.000","3,305.000","20,738.000","55,380.000","72,060.000","48,577.000","50,000,000.000",77.06%
2019/8/6,8,2,旺季,急單,綠,OFF,"626,046.000","1,959,666.000","11,493,869.000","27,480,844.000","966,245.000","15,642.000","2,829.000","28,687.000","65,476.000","5,152.000","2,308.000","20,801.000","55,029.000","40,709.000","46,097.000","50,000,000.000",85.05%
2019/8/7,8,3,旺季,急單,綠,ON,"785,013.000","3,081,223.000","10,495,755.000","25,316,796.000","1,419,581.000","15,686.000","6,167.000","44,830.000","50,676.000","8,575.000","2,798.000","24,567.000","53,796.000","47,123.000","46,732.000","50,000,000.000",82.2%
2019/8/8,8,4,旺季,急單,綠,ON,"1,123,091.000","6,306,671.000","10,034,329.000","24,164,921.000","2,663,769.000","5,063.000","2,749.000","77,047.000","12,940.000","12,382.000","3,506.000","21,361.000","49,413.000","29,374.000","44,680.000","50,000,000.000",88.59%
2019/8/9,8,5,旺季,急單,綠,ON,"917,685.000","4,210,733.000","10,595,918.000","25,710,896.000","1,862,420.000","15,791.000","3,747.000","55,031.000","62,094.000","9,379.000","3,187.000","32,976.000","46,165.000","43,851.000","46,420.000","50,000,000.000",86.6%
2019/8/10,8,6,旺季,急單,綠,ON,"902,805.000","4,075,288.000","10,896,226.000","27,477,742.000","1,809,832.000","21,150.000","2,795.000","52,576.000","93,173.000","8,725.000","3,736.000","19,448.000","50,438.000","31,402.000","44,970.000","50,000,000.000",90.32%
2019/8/11,8,7,旺季,急單,綠,ON,"874,171.000","3,820,873.000","9,771,906.000","21,860,162.000","1,710,710.000","15,080.000","2,792.000","49,743.000","62,835.000","8,299.000","2,221.000","19,495.000","49,302.000","79,308.000","48,993.000","50,000,000.000",76.08%
2019/8/12,8,1,旺季,急單,綠,ON,"764,858.000","2,925,037.000","11,671,299.000","23,382,548.000","1,357,441.000","21,011.000","5,014.000","41,913.000","82,490.000","7,791.000","4,053.000","25,925.000","50,090.000","72,060.000","48,577.000","50,000,000.000",80.2%
2019/8/13,8,2,旺季,急單,紅,ON,"646,105.000","2,087,257.000","11,164,465.000","26,371,838.000","1,018,805.000","26,178.000","17,078.000","44,411.000","54,042.000","11,785.000","2,388.000","24,925.000","50,536.000","18,244.000","42,611.000","50,000,000.000",82.58%
2019/8/14,8,3,旺季,急單,紅,ON,"760,758.000","2,893,762.000","11,068,829.000","25,103,164.000","1,344,966.000","42,472.000","28,180.000","64,725.000","85,550.000","18,163.000","2,755.000","25,682.000","45,188.000","47,123.000","46,732.000","50,000,000.000",82.34%
2019/8/15,8,4,旺季,急單,綠,ON,"625,339.000","1,955,247.000","10,783,323.000","25,819,803.000","964,419.000","23,032.000","6,423.000","32,229.000","86,256.000","6,761.000","2,432.000","40,472.000","49,461.000","29,374.000","44,680.000","50,000,000.000",80.3%
2019/8/16,8,5,旺季,急單,綠,ON,"676,426.000","2,287,762.000","10,479,056.000","24,214,420.000","1,100,800.000","19,916.000","5,283.000","34,925.000","75,807.000","6,824.000","3,672.000","52,724.000","47,199.000","43,851.000","46,420.000","50,000,000.000",77.52%
2019/8/17,8,6,旺季,急單,綠,OFF,"645,995.000","2,086,547.000","10,435,237.000","25,262,944.000","1,018,513.000","12,990.000","3,176.000","30,502.000","50,654.000","5,528.000","4,428.000","20,738.000","46,159.000","31,402.000","44,970.000","50,000,000.000",78.9%
2019/8/18,8,7,旺季,急單,綠,ON,"756,863.000","2,864,204.000","12,405,310.000","25,919,282.000","1,333,166.000","10,170.000","2,829.000","39,040.000","38,119.000","6,705.000","3,432.000","20,801.000","46,046.000","12,544.000","40,984.000","50,000,000.000",86.56%
2019/8/19,8,1,旺季,急單,綠,ON,"842,271.000","3,547,101.000","11,158,820.000","24,263,139.000","1,603,503.000","25,883.000","6,167.000","50,061.000","101,659.000","9,359.000","3,081.000","24,567.000","49,862.000","45,285.000","46,560.000","50,000,000.000",82.83%
2019/8/20,8,2,旺季,急單,綠,ON,"869,047.000","3,776,210.000","10,821,946.000","25,820,554.000","1,693,260.000","18,783.000","2,749.000","49,202.000","81,544.000","8,205.000","3,506.000","21,361.000","46,393.000","15,562.000","41,921.000","50,000,000.000",85.96%
2019/8/21,8,3,旺季,急單,綠,ON,"722,829.000","2,612,406.000","10,671,577.000","25,491,178.000","1,232,216.000","22,652.000","3,747.000","37,099.000","96,396.000","6,689.000","3,187.000","32,976.000","47,280.000","41,010.000","46,129.000","50,000,000.000",81.46%
2019/8/22,8,4,淡季,急單,綠,ON,"904,755.000","4,092,908.000","10,929,911.000","24,166,021.000","1,816,680.000","16,577.000","2,795.000","52,772.000","70,306.000","8,754.000","1,416.000","19,448.000","48,302.000","17,408.000","42,407.000","50,000,000.000",83.82%
2019/8/23,8,5,淡季,急單,紅,ON,"733,499.000","2,690,106.000","10,157,960.000","23,907,911.000","1,263,452.000","25,320.000","11,366.000","45,602.000","75,453.000","10,250.000","3,097.000","26,093.000","77,639.000","52,117.000","47,170.000","50,000,000.000",77.51%
2019/8/24,8,6,淡季,急單,綠,ON,"705,529.000","2,488,856.000","11,389,944.000","27,612,159.000","1,182,383.000","17,257.000","2,886.000","34,830.000","73,300.000","6,090.000","3,183.000","20,537.000","75,765.000","44,134.000","46,448.000","50,000,000.000",86.76%
2019/8/25,8,7,淡季,急單,綠,ON,"954,052.000","4,551,075.000","10,838,864.000","25,888,621.000","1,994,051.000","20,365.000","6,291.000","61,342.000","73,518.000","11,089.000","2,735.000","25,679.000","75,022.000","43,580.000","46,393.000","50,000,000.000",88.45%
2019/8/26,8,1,淡季,急單,綠,ON,"1,020,388.000","5,205,962.000","10,426,449.000","24,820,633.000","2,245,515.000","18,588.000","2,804.000","65,068.000","80,322.000","10,601.000","3,765.000","22,245.000","72,998.000","44,762.000","46,509.000","50,000,000.000",87.44%
2019/8/27,8,2,淡季,急單,綠,ON,"910,245.000","4,142,733.000","11,225,485.000","26,024,280.000","1,836,034.000","17,838.000","3,822.000","54,352.000","71,993.000","9,299.000","2,599.000","25,799.000","70,608.000","40,436.000","46,068.000","50,000,000.000",88.28%
2019/8/28,8,3,淡季,急單,綠,ON,"888,488.000","3,947,055.000","10,925,695.000","27,563,219.000","1,759,929.000","16,556.000","2,851.000","51,206.000","69,952.000","8,536.000","3,515.000","23,685.000","73,146.000","41,396.000","46,170.000","50,000,000.000",90.17%
2019/8/29,8,4,淡季,急單,綠,ON,"819,514.000","3,358,018.000","10,451,176.000","23,045,125.000","1,529,096.000","18,335.000","2,848.000","44,624.000","78,859.000","7,548.000","2,347.000","28,297.000","71,890.000","40,723.000","46,098.000","50,000,000.000",78.41%
2019/8/30,8,5,淡季,急單,綠,ON,"705,481.000","2,488,519.000","11,384,291.000","24,175,988.000","1,182,247.000","20,412.000","5,115.000","37,055.000","79,045.000","7,093.000","3,494.000","34,777.000","72,275.000","38,228.000","45,824.000","50,000,000.000",79.87%
2019/8/31,8,6,淡季,急單,紅,ON,"703,431.000","2,474,078.000","10,914,223.000","26,697,618.000","1,176,408.000","31,714.000","17,419.000","49,194.000","80,184.000","12,605.000","3,083.000","28,712.000","87,111.000","33,063.000","45,193.000","50,000,000.000",83.93%
2019/9/1,9,7,淡季,急單,紅,ON,"693,049.000","2,401,582.000","10,582,084.000","25,724,972.000","1,147,052.000","40,567.000","28,744.000","59,690.000","73,490.000","17,577.000","3,286.000","33,069.000","85,407.000","27,298.000","44,361.000","50,000,000.000",81.1%
2019/9/2,9,1,淡季,急單,綠,ON,"650,883.000","2,118,242.000","11,295,128.000","26,562,843.000","1,031,522.000","21,303.000","6,552.000","34,243.000","77,031.000","7,102.000","3,314.000","28,592.000","85,438.000","39,838.000","46,003.000","50,000,000.000",83.32%
2019/9/3,9,2,淡季,急單,綠,ON,"661,211.000","2,185,997.000","10,866,469.000","24,546,700.000","1,059,271.000","19,919.000","5,389.000","33,861.000","75,342.000","6,696.000","3,536.000","31,629.000","83,738.000","26,700.000","44,265.000","50,000,000.000",78.64%
2019/9/4,9,3,淡季,急單,紅,ON,"780,829.000","3,048,471.000","9,357,846.000","22,825,775.000","1,406,571.000","26,197.000","10,797.000","49,090.000","82,397.000","10,603.000","3,262.000","20,471.000","54,669.000","71,136.000","48,521.000","50,000,000.000",74.84%
2019/9/5,9,4,淡季,計劃,綠,OFF,"581,287.000","1,689,470.000","11,346,366.000","27,181,844.000","853,800.000","15,369.000","2,742.000","25,449.000","64,509.000","4,640.000","2,279.000","20,534.000","54,323.000","40,187.000","46,041.000","50,000,000.000",83.31%
2019/9/6,9,5,淡季,急單,綠,ON,"728,888.000","2,656,390.000","10,361,062.000","25,041,342.000","1,249,907.000","15,364.000","5,976.000","39,829.000","49,927.000","7,767.000","2,762.000","24,251.000","53,105.000","46,519.000","46,676.000","50,000,000.000",80.08%
2019/9/7,9,6,淡季,急單,綠,ON,"1,042,796.000","5,437,118.000","9,905,556.000","23,901,999.000","2,333,771.000","4,948.000","2,664.000","67,463.000","12,749.000","10,919.000","3,461.000","21,087.000","48,779.000","28,997.000","44,624.000","50,000,000.000",85.24%
2019/9/8,9,7,淡季,急單,綠,ON,"852,076.000","3,630,164.000","10,459,938.000","25,431,154.000","1,636,093.000","15,503.000","3,631.000","48,453.000","61,177.000","8,357.000","3,146.000","32,553.000","45,573.000","43,288.000","46,364.000","50,000,000.000",84.02%
2019/9/9,9,1,淡季,急單,綠,ON,"838,259.000","3,513,394.000","10,756,392.000","27,178,776.000","1,590,261.000","20,797.000","2,708.000","46,225.000","91,796.000","7,746.000","3,688.000","19,198.000","49,791.000","30,999.000","44,914.000","50,000,000.000",87.75%
