,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
0,14/12/2020,14,12,2020,746,6,Afghanistan,AF,AFG,38041757.0,Asia
1,13/12/2020,13,12,2020,298,9,Afghanistan,AF,AFG,38041757.0,Asia
2,12/12/2020,12,12,2020,113,11,Afghanistan,AF,AFG,38041757.0,Asia
3,11/12/2020,11,12,2020,63,10,Afghanistan,AF,AFG,38041757.0,Asia
4,10/12/2020,10,12,2020,202,16,Afghanistan,AF,AFG,38041757.0,Asia
5,09/12/2020,9,12,2020,135,13,Afghanistan,AF,AFG,38041757.0,Asia
6,08/12/2020,8,12,2020,200,6,Afghanistan,AF,AFG,38041757.0,Asia
7,07/12/2020,7,12,2020,210,26,Afghanistan,AF,AFG,38041757.0,Asia
8,06/12/2020,6,12,2020,234,10,Afghanistan,AF,AFG,38041757.0,Asia
9,05/12/2020,5,12,2020,235,18,Afghanistan,AF,AFG,38041757.0,Asia
10,04/12/2020,4,12,2020,119,5,Afghanistan,AF,AFG,38041757.0,Asia
11,03/12/2020,3,12,2020,202,19,Afghanistan,AF,AFG,38041757.0,Asia
12,02/12/2020,2,12,2020,400,48,Afghanistan,AF,AFG,38041757.0,Asia
13,01/12/2020,1,12,2020,272,11,Afghanistan,AF,AFG,38041757.0,Asia
14,30/11/2020,30,11,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
15,29/11/2020,29,11,2020,228,11,Afghanistan,AF,AFG,38041757.0,Asia
16,28/11/2020,28,11,2020,214,15,Afghanistan,AF,AFG,38041757.0,Asia
17,27/11/2020,27,11,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
18,26/11/2020,26,11,2020,200,12,Afghanistan,AF,AFG,38041757.0,Asia
19,25/11/2020,25,11,2020,185,13,Afghanistan,AF,AFG,38041757.0,Asia
20,24/11/2020,24,11,2020,246,17,Afghanistan,AF,AFG,38041757.0,Asia
21,23/11/2020,23,11,2020,252,8,Afghanistan,AF,AFG,38041757.0,Asia
22,22/11/2020,22,11,2020,154,12,Afghanistan,AF,AFG,38041757.0,Asia
23,21/11/2020,21,11,2020,232,25,Afghanistan,AF,AFG,38041757.0,Asia
24,20/11/2020,20,11,2020,282,5,Afghanistan,AF,AFG,38041757.0,Asia
25,19/11/2020,19,11,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
26,18/11/2020,18,11,2020,383,13,Afghanistan,AF,AFG,38041757.0,Asia
27,17/11/2020,17,11,2020,65,6,Afghanistan,AF,AFG,38041757.0,Asia
28,16/11/2020,16,11,2020,163,9,Afghanistan,AF,AFG,38041757.0,Asia
29,15/11/2020,15,11,2020,205,12,Afghanistan,AF,AFG,38041757.0,Asia
30,14/11/2020,14,11,2020,66,10,Afghanistan,AF,AFG,38041757.0,Asia
31,13/11/2020,13,11,2020,360,14,Afghanistan,AF,AFG,38041757.0,Asia
32,12/11/2020,12,11,2020,146,4,Afghanistan,AF,AFG,38041757.0,Asia
33,11/11/2020,11,11,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
34,10/11/2020,10,11,2020,224,12,Afghanistan,AF,AFG,38041757.0,Asia
35,09/11/2020,9,11,2020,80,3,Afghanistan,AF,AFG,38041757.0,Asia
36,08/11/2020,8,11,2020,126,6,Afghanistan,AF,AFG,38041757.0,Asia
37,07/11/2020,7,11,2020,58,2,Afghanistan,AF,AFG,38041757.0,Asia
38,06/11/2020,6,11,2020,40,0,Afghanistan,AF,AFG,38041757.0,Asia
39,05/11/2020,5,11,2020,121,6,Afghanistan,AF,AFG,38041757.0,Asia
40,04/11/2020,4,11,2020,86,4,Afghanistan,AF,AFG,38041757.0,Asia
41,03/11/2020,3,11,2020,95,3,Afghanistan,AF,AFG,38041757.0,Asia
42,02/11/2020,2,11,2020,132,5,Afghanistan,AF,AFG,38041757.0,Asia
43,01/11/2020,1,11,2020,76,0,Afghanistan,AF,AFG,38041757.0,Asia
44,31/10/2020,31,10,2020,157,4,Afghanistan,AF,AFG,38041757.0,Asia
45,30/10/2020,30,10,2020,123,3,Afghanistan,AF,AFG,38041757.0,Asia
46,29/10/2020,29,10,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
47,28/10/2020,28,10,2020,113,7,Afghanistan,AF,AFG,38041757.0,Asia
48,27/10/2020,27,10,2020,199,8,Afghanistan,AF,AFG,38041757.0,Asia
49,26/10/2020,26,10,2020,65,3,Afghanistan,AF,AFG,38041757.0,Asia
50,25/10/2020,25,10,2020,81,4,Afghanistan,AF,AFG,38041757.0,Asia
51,24/10/2020,24,10,2020,61,2,Afghanistan,AF,AFG,38041757.0,Asia
52,23/10/2020,23,10,2020,116,4,Afghanistan,AF,AFG,38041757.0,Asia
53,22/10/2020,22,10,2020,135,2,Afghanistan,AF,AFG,38041757.0,Asia
54,21/10/2020,21,10,2020,88,2,Afghanistan,AF,AFG,38041757.0,Asia
55,20/10/2020,20,10,2020,87,5,Afghanistan,AF,AFG,38041757.0,Asia
56,19/10/2020,19,10,2020,59,4,Afghanistan,AF,AFG,38041757.0,Asia
57,18/10/2020,18,10,2020,68,3,Afghanistan,AF,AFG,38041757.0,Asia
58,17/10/2020,17,10,2020,47,4,Afghanistan,AF,AFG,38041757.0,Asia
59,16/10/2020,16,10,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
60,15/10/2020,15,10,2020,32,1,Afghanistan,AF,AFG,38041757.0,Asia
61,14/10/2020,14,10,2020,66,0,Afghanistan,AF,AFG,38041757.0,Asia
62,13/10/2020,13,10,2020,129,3,Afghanistan,AF,AFG,38041757.0,Asia
63,12/10/2020,12,10,2020,96,4,Afghanistan,AF,AFG,38041757.0,Asia
64,11/10/2020,11,10,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
65,10/10/2020,10,10,2020,10,1,Afghanistan,AF,AFG,38041757.0,Asia
66,09/10/2020,9,10,2020,77,2,Afghanistan,AF,AFG,38041757.0,Asia
67,08/10/2020,8,10,2020,68,1,Afghanistan,AF,AFG,38041757.0,Asia
68,07/10/2020,7,10,2020,62,2,Afghanistan,AF,AFG,38041757.0,Asia
69,06/10/2020,6,10,2020,145,5,Afghanistan,AF,AFG,38041757.0,Asia
70,05/10/2020,5,10,2020,44,0,Afghanistan,AF,AFG,38041757.0,Asia
71,04/10/2020,4,10,2020,7,4,Afghanistan,AF,AFG,38041757.0,Asia
72,03/10/2020,3,10,2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia
73,02/10/2020,2,10,2020,17,0,Afghanistan,AF,AFG,38041757.0,Asia
74,01/10/2020,1,10,2020,14,0,Afghanistan,AF,AFG,38041757.0,Asia
75,30/09/2020,30,9,2020,15,2,Afghanistan,AF,AFG,38041757.0,Asia
76,29/09/2020,29,9,2020,12,3,Afghanistan,AF,AFG,38041757.0,Asia
77,28/09/2020,28,9,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
78,27/09/2020,27,9,2020,35,0,Afghanistan,AF,AFG,38041757.0,Asia
79,26/09/2020,26,9,2020,6,2,Afghanistan,AF,AFG,38041757.0,Asia
